#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	assembly_gap	9720	9819	.				
contig_1	cds	10001	11647	+	PGH39_00055		hypothetical protein	RefSeq:WP_038837839.1, SO:0001217, UniParc:UPI0001E3C4D3, UniRef:UniRef100_A0A4Q5N7L1, UniRef:UniRef50_Q5WYC7, UniRef:UniRef90_A0A4Q5N7L1
contig_1	cds	11613	12464	+	PGH39_00060	lPG_RS03825	ABC transporter permease	COG:COG1682, COG:G, RefSeq:WP_010946509.1, SO:0001217, UniParc:UPI00000B2A5C, UniRef:UniRef100_Q9RDZ4, UniRef:UniRef50_Q9RDZ4, UniRef:UniRef90_Q9RDZ4, VFDB:VFC0258, VFDB:VFG045319
contig_1	cds	12461	13885	+	PGH39_00065	lPG_RS03830	ATP-binding cassette domain-containing protein	COG:COG1134, COG:G, RefSeq:WP_010946510.1, SO:0001217, UniParc:UPI000044233E, UniRef:UniRef100_A0A0C9NT30, UniRef:UniRef50_A0A0C9NT30, UniRef:UniRef90_A0A0C9NT30, VFDB:VFC0258, VFDB:VFG045320
contig_1	cds	13891	15048	+	PGH39_00070		Alpha-2,8-polysialyltransferase (POLYST)	RefSeq:WP_038837842.1, SO:0001217, UniParc:UPI0001E3C4D4, UniRef:UniRef100_A0A4T1E0K6, UniRef:UniRef50_A0A4T1E0K6, UniRef:UniRef90_A0A4T1E0K6
contig_1	cds	15171	16244	+	PGH39_00075	lPG_RS03845	acyltransferase	COG:COG1835, COG:M, KEGG:K16568, RefSeq:WP_011214978.1, SO:0001217, UniParc:UPI00000BCB16, UniRef:UniRef100_Q9EUV4, UniRef:UniRef50_Q9EUV4, UniRef:UniRef90_Q9EUV4, VFDB:VFC0258, VFDB:VFG045323
contig_1	cds	16413	17306	-	PGH39_00080	lPG_RS03850	glycosyltransferase family 2 protein	COG:COG1216, COG:G, RefSeq:WP_011214979.1, SO:0001217, UniParc:UPI000044562C, UniRef:UniRef100_A7E1A6, UniRef:UniRef50_B6D7T6, UniRef:UniRef90_A7E1A6, VFDB:VFC0258, VFDB:VFG045324
contig_1	cds	17300	18319	-	PGH39_00085	lPG_RS03855	glycosyltransferase family 2 protein	COG:COG1216, COG:G, RefSeq:WP_011214980.1, SO:0001217, UniParc:UPI000044562D, UniRef:UniRef100_A7E1A5, UniRef:UniRef50_A0A378K6F5, UniRef:UniRef90_A0A129FAY5, VFDB:VFC0258, VFDB:VFG045325
contig_1	cds	18531	19238	+	PGH39_00090	gloB	Zn-dependent hydrolase	COG:COG0491, COG:R, RefSeq:WP_011945910.1, SO:0001217, UniParc:UPI0001527A25, UniRef:UniRef100_A0A131B9T3, UniRef:UniRef50_Q5WYC0, UniRef:UniRef90_Q5WYC0
contig_1	cds	19797	19991	+	PGH39_00095	csrA	carbon storage regulator CsrA	COG:COG1551, COG:T, GO:0005737, GO:0006109, GO:0006402, GO:0045947, GO:0045948, GO:0048027, RefSeq:WP_011213314.1, SO:0001217, UniParc:UPI00000BB564, UniRef:UniRef100_Q5X6W9, UniRef:UniRef50_Q3JCK6, UniRef:UniRef90_Q5X6W9, VFDB:VFC0301, VFDB:VFG010906
contig_1	cds	20117	22099	-	PGH39_00100	oafA	acyltransferase	COG:COG1835, COG:M, KEGG:K16568, RefSeq:WP_038837844.1, SO:0001217, UniParc:UPI0001E3C4D5, UniRef:UniRef100_A0A4T1E0V6, UniRef:UniRef50_A0A130VNQ1, UniRef:UniRef90_A0A130VNQ1
contig_1	cds	22262	23257	-	PGH39_00105	birA	bifunctional biotin--[acetyl-CoA-carboxylase] synthetase/biotin operon repressor	COG:COG1654, COG:K, RefSeq:WP_010946520.1, SO:0001217, UniParc:UPI0000442347, UniRef:UniRef100_A0A2S6FAI7, UniRef:UniRef50_A0A0W1AND6, UniRef:UniRef90_Q5WYB7
contig_1	cds	23261	23998	-	PGH39_00110	sfp	phosphopantetheine-protein transferase	COG:COG2091, COG:H, RefSeq:WP_010946521.1, SO:0001217, UniParc:UPI0000442348, UniRef:UniRef100_A0A2S6FAI5, UniRef:UniRef50_G9EJA3, UniRef:UniRef90_Q5WYB6
contig_1	cds	24080	25033	+	PGH39_00115	accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	COG:COG0825, COG:I, EC:2.1.3.15, GO:0003989, GO:0005524, GO:0006633, GO:0009317, GO:0016743, GO:2001295, RefSeq:WP_010946522.1, SO:0001217, UniParc:UPI0000442349, UniRef:UniRef100_Q5X6W5, UniRef:UniRef50_Q9K842, UniRef:UniRef90_Q5X6W5
contig_1	cds	25026	26321	+	PGH39_00120	tilS	tRNA(Ile)-lysidine synthase	COG:COG0037, COG:J, EC:6.3.4.19, GO:0005524, GO:0005737, GO:0006400, GO:0016879, KEGG:K04075, RefSeq:WP_038837846.1, SO:0001217, UniParc:UPI0005775F8C, UniRef:UniRef100_UPI0005775F8C, UniRef:UniRef50_Q5ZXE5, UniRef:UniRef90_Q5ZXE5
contig_1	cds	26584	27120	+	PGH39_00125	rAYT	Transposase IS200 like	COG:COG1943, COG:X, RefSeq:WP_010946524.1, SO:0001217, UniParc:UPI000044234B, UniRef:UniRef100_A0A2S6FAI4, UniRef:UniRef50_Q01SH2, UniRef:UniRef90_A0A2S6FAI4
contig_1	cds	27364	28530	+	PGH39_00130		SGNH/GDSL hydrolase family protein	RefSeq:WP_011945916.1, SO:0001217, UniParc:UPI000152798B, UniRef:UniRef100_A0A4Q5N4E3, UniRef:UniRef50_A0A378KZ12, UniRef:UniRef90_A0A140IYL1
contig_1	cds	28527	29969	+	PGH39_00135	dltB	MBOAT family protein	COG:COG1696, COG:M, RefSeq:WP_038837849.1, SO:0001217, UniParc:UPI0001E3C59D, UniRef:UniRef100_A0A4Q5N8G4, UniRef:UniRef50_A0A378KYL4, UniRef:UniRef90_A0A378K2N1
contig_1	cds	30069	31445	-	PGH39_00140	sdaA	L-serine ammonia-lyase	COG:COG1760, COG:E, RefSeq:WP_011945918.1, SO:0001217, UniParc:UPI0001527989, UniRef:UniRef100_A0A128U4J7, UniRef:UniRef50_A4FI95, UniRef:UniRef90_Q5WYB1
contig_1	cds	31650	32351	+	PGH39_00145	mip	macrophage infectivity potentiator Mip	COG:COG0545, COG:O, EC:5.2.1.8, GO:0003755, GO:0006457, GO:0009279, RefSeq:WP_011214989.1, SO:0001217, UniParc:UPI00000010BA, UniRef:UniRef100_A5IGB8, UniRef:UniRef50_Q5ZXE0, UniRef:UniRef90_Q5ZXE0, VFDB:VFC0315, VFDB:VFG001864
contig_1	cds	32517	33764	+	PGH39_00150		MFS domain-containing protein	RefSeq:WP_011945919.1, SO:0001217, UniParc:UPI0001527988, UniRef:UniRef100_A0A4T1E0W5, UniRef:UniRef50_Q5WYA9, UniRef:UniRef90_Q5WYA9
contig_1	tRNA	33881	33967	-	PGH39_00155	Leu_trna	tRNA-Leu(caa)	SO:0000264
contig_1	cds	34150	34536	+	PGH39_00160		DUF3757 domain-containing protein	RefSeq:WP_010946534.1, SO:0001217, UniParc:UPI0000442355, UniRef:UniRef100_A0A133X7S6, UniRef:UniRef50_A0A0W0YV69, UniRef:UniRef90_A0A133X7S6
contig_1	cds	34640	35983	-	PGH39_00165	nadA	quinolinate synthase NadA	COG:COG0379, COG:H, EC:2.5.1.72, KEGG:K03517, RefSeq:WP_011945921.1, SO:0001217, UniParc:UPI0001527986, UniRef:UniRef100_A0A128WN57, UniRef:UniRef50_A0A0W0ZUL2, UniRef:UniRef90_Q5WYA7
contig_1	cds	36058	37707	-	PGH39_00170	nadB	L-aspartate oxidase	COG:COG0029, COG:H, RefSeq:WP_027264587.1, SO:0001217, UniParc:UPI0001E3C59F, UniRef:UniRef100_A0A2S8CCC0, UniRef:UniRef50_A0A098GHA2, UniRef:UniRef90_Q5WYA6
contig_1	cds	37704	39074	-	PGH39_00175	purB	adenylosuccinate lyase	COG:COG0015, COG:F, EC:4.3.2.2, GO:0004018, GO:0006189, GO:0044208, GO:0070626, KEGG:K01756, RefSeq:WP_010946537.1, SO:0001217, UniParc:UPI0000442358, UniRef:UniRef100_Q5ZXD1, UniRef:UniRef50_P0AB90, UniRef:UniRef90_Q5ZXD1
contig_1	cds	39227	40930	+	PGH39_00180	sulP	sodium-independent anion transporter	COG:COG0659, COG:P, RefSeq:WP_016356992.1, SO:0001217, UniParc:UPI0001E3C5A0, UniRef:UniRef100_A0A4T1E0K9, UniRef:UniRef50_A0A378YEJ3, UniRef:UniRef90_Q5WYA4
contig_1	cds	41133	42836	-	PGH39_00185	caiA	acyl-CoA dehydrogenase	COG:COG1960, COG:I, RefSeq:WP_016356991.1, SO:0001217, UniParc:UPI0001E3C5A1, UniRef:UniRef100_A0A4T1FGQ2, UniRef:UniRef50_A0A378IAX9, UniRef:UniRef90_A0A378K2D0
contig_1	cds	43065	44063	-	PGH39_00190	yxeI	choloylglycine hydrolase	COG:COG3049, COG:MR, RefSeq:WP_014326783.1, SO:0001217, UniParc:UPI000241E69B, UniRef:UniRef100_A0A2S8CCC7, UniRef:UniRef50_A0A378K2P2, UniRef:UniRef90_A0A378K2P2
contig_1	cds	44288	46675	+	PGH39_00195	ppsA	phosphoenolpyruvate synthase	COG:COG0574, COG:G, RefSeq:WP_013101200.1, SO:0001217, UniParc:UPI0001D2052D, UniRef:UniRef100_A0A4T1E0E5, UniRef:UniRef50_Q9K0I2, UniRef:UniRef90_A0A129EFX7
contig_1	cds	46752	46904	+	PGH39_00200		hypothetical protein	SO:0001217, UniParc:UPI0002E3504C, UniRef:UniRef100_A0A378K333, UniRef:UniRef50_A0A378K333, UniRef:UniRef90_A0A378K333
contig_1	cds	46916	48355	+	PGH39_00205	kefB	cation:proton antiporter	COG:COG0475, COG:P, RefSeq:WP_010946542.1, SO:0001217, UniParc:UPI000044235D, UniRef:UniRef100_A0A128L8S6, UniRef:UniRef50_A0A0W0R4M9, UniRef:UniRef90_A0A128L8S6
contig_1	cds	48352	49194	+	PGH39_00210	nadC	carboxylating nicotinate-nucleotide diphosphorylase	COG:COG0157, COG:H, EC:2.4.2.19, KEGG:K00767, RefSeq:WP_013101201.1, SO:0001217, UniParc:UPI0001D2052E, UniRef:UniRef100_A0A378K672, UniRef:UniRef50_K4PSN6, UniRef:UniRef90_Q5WY99
contig_1	cds	49191	50282	+	PGH39_00215	murG	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	COG:COG0707, COG:M, EC:2.4.1.227, GO:0005886, GO:0005975, GO:0007049, GO:0008360, GO:0009252, GO:0030259, GO:0050511, GO:0051301, GO:0051991, GO:0071555, RefSeq:WP_013101202.1, SO:0001217, UniParc:UPI0001D2052F, UniRef:UniRef100_A0A378K713, UniRef:UniRef50_Q5WY98, UniRef:UniRef90_Q5WY98
contig_1	cds	50257	51672	+	PGH39_00220	argE	peptidase M20	COG:COG0624, COG:E, RefSeq:WP_010946545.1, SO:0001217, UniParc:UPI0000442360, UniRef:UniRef100_A0A0C9NC27, UniRef:UniRef50_A0A381U1N7, UniRef:UniRef90_Q5WY97
contig_1	cds	51764	52081	+	PGH39_00225	comEA	competence protein ComEA	COG:COG1555, COG:L, RefSeq:WP_011945930.1, SO:0001217, UniParc:UPI00015278F8, UniRef:UniRef100_A0A378KB58, UniRef:UniRef50_A0A0W0YYQ8, UniRef:UniRef90_A0A378KB58
contig_1	cds	52277	53314	+	PGH39_00230	mreB	rod shape-determining protein	COG:COG1077, COG:DZ, RefSeq:WP_011213320.1, SO:0001217, UniParc:UPI0000444BFC, UniRef:UniRef100_Q5ZXC1, UniRef:UniRef50_P44474, UniRef:UniRef90_A0A0W0YPH7
contig_1	cds	53292	54200	+	PGH39_00235	mreC	rod shape-determining protein MreC	COG:COG1792, COG:DZ, RefSeq:WP_010946548.1, SO:0001217, UniParc:UPI0000442363, UniRef:UniRef100_A0A0C9NKP6, UniRef:UniRef50_A0A0W0VQR3, UniRef:UniRef90_A0A0C9NKP6
contig_1	cds	54197	54676	+	PGH39_00240	mreD	rod shape-determining protein MreD	COG:COG2891, COG:M, RefSeq:WP_011945932.1, SO:0001217, UniParc:UPI00015278F6, UniRef:UniRef100_A0A378K2Q7, UniRef:UniRef50_D3HJ52, UniRef:UniRef90_A0A129EET3
contig_1	cds	54612	55214	-	PGH39_00245	rsuA	pseudouridine synthase	COG:COG1187, COG:J, RefSeq:WP_013101203.1, SO:0001217, UniParc:UPI0001D20530, UniRef:UniRef100_A0A4T1FI42, UniRef:UniRef50_Q5E3X5, UniRef:UniRef90_Q5WY92
contig_1	cds	55475	56173	+	PGH39_00250		protein tyrosine phosphatase	RefSeq:WP_011945934.1, SO:0001217, UniParc:UPI00015278F4, UniRef:UniRef100_A0A378K344, UniRef:UniRef50_A0A098G2T8, UniRef:UniRef90_A0A131MLS5
contig_1	cds	56287	57543	+	PGH39_00255	icd	NADP-dependent isocitrate dehydrogenase	COG:C, COG:COG0538, SO:0001217, UniParc:UPI00015278F3, UniRef:UniRef100_A0A378K3V4, UniRef:UniRef50_Q59940, UniRef:UniRef90_Q5ZXB6
contig_1	cds	57945	58280	+	PGH39_00260	clpS	ATP-dependent Clp protease adapter ClpS	COG:COG2127, COG:O, GO:0006508, GO:0030163, RefSeq:WP_011215007.1, SO:0001217, UniParc:UPI0000445647, UniRef:UniRef100_A5IG97, UniRef:UniRef50_Q5X6T6, UniRef:UniRef90_Q5X6T6
contig_1	cds	58312	60579	+	PGH39_00265	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	COG:COG0542, COG:O, KEGG:K03694, RefSeq:WP_011945936.1, SO:0001217, UniParc:UPI00015278F2, UniRef:UniRef100_A0A4Q5N822, UniRef:UniRef50_A0A2N1XHT6, UniRef:UniRef90_A0A098GH79
contig_1	cds	60803	61582	+	PGH39_00270	wcaA	glycosyltransferase family 2 protein	COG:COG0463, COG:M, RefSeq:WP_011945937.1, SO:0001217, UniParc:UPI00015278F1, UniRef:UniRef100_A0A378K438, UniRef:UniRef50_A0A0A8UNG7, UniRef:UniRef90_Q5WY87
contig_1	cds	61585	62835	+	PGH39_00275		O-antigen biosynthesis protein	RefSeq:WP_015444717.1, SO:0001217, UniParc:UPI0001E3C5A4, UniRef:UniRef100_A0A378KB68, UniRef:UniRef50_A0A2S6FAM9, UniRef:UniRef90_A0A2S6FAM9
contig_1	cds	62836	63171	-	PGH39_00280		Neurogenic locus notch	RefSeq:WP_011945939.1, SO:0001217, UniParc:UPI00015278EF, UniRef:UniRef100_A0A4T1H3B0, UniRef:UniRef50_Q5WY85, UniRef:UniRef90_Q5WY85
contig_1	cds	63341	63937	-	PGH39_00285		rhomboid family intramembrane serine protease	RefSeq:WP_011945940.1, SO:0001217, UniParc:UPI00015278EE, UniRef:UniRef100_A0A378K2F5, UniRef:UniRef50_Q5WY84, UniRef:UniRef90_Q5WY84
contig_1	cds	63934	64836	-	PGH39_00290	nlpD	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain	COG:COG0739, COG:M, RefSeq:WP_011945941.1, SO:0001217, UniParc:UPI00015278ED, UniRef:UniRef100_A0A4V4P570, UniRef:UniRef50_A0A0W0U4U5, UniRef:UniRef90_A0A822W688
contig_1	cds	64845	66176	-	PGH39_00295	xseA	exodeoxyribonuclease VII large subunit	COG:COG1570, COG:L, EC:3.1.11.6, GO:0003676, GO:0005737, GO:0006308, GO:0008855, GO:0009318, RefSeq:WP_027225209.1, SO:0001217, UniParc:UPI0001E3C646, UniRef:UniRef100_A0A4Q5N809, UniRef:UniRef50_Q5WY82, UniRef:UniRef90_Q5WY82
contig_1	cds	66326	68050	+	PGH39_00300	dedD	agglutination protein	COG:COG3147, COG:D, RefSeq:WP_027225208.1, SO:0001217, UniParc:UPI0004870D4C, UniRef:UniRef100_A0A4Q5NB15, UniRef:UniRef50_A0A0W0YIR2, UniRef:UniRef90_Q5WY81
contig_1	cds	68001	68735	+	PGH39_00305		Periplasmic protein	COG:COG3672, COG:O, RefSeq:WP_015444716.1, SO:0001217, UniParc:UPI0002C101D4, UniRef:UniRef100_A0A378K3X0, UniRef:UniRef50_A0A0W1ANC4, UniRef:UniRef90_A0A2S6ES85
contig_1	cds	68751	70670	+	PGH39_00310	eAL	GGDEF domain-containing protein	COG:COG2200, COG:T, RefSeq:WP_027225207.1, SO:0001217, UniParc:UPI0001E3C649, UniRef:UniRef100_A0A4V4PAH5, UniRef:UniRef50_A0A0W0U576, UniRef:UniRef90_A0A378K697
contig_1	cds	70806	71531	+	PGH39_00315	entF2	Thioesterase domain-containing protein	COG:COG3319, COG:Q, RefSeq:WP_011945946.1, SO:0001217, UniParc:UPI000152785F, UniRef:UniRef100_A0A378KE46, UniRef:UniRef50_Q5WY78, UniRef:UniRef90_Q5WY78
contig_1	cds	71509	72819	+	PGH39_00320	czcO	putative flavoprotein CzcO associated with the cation diffusion facilitator CzcD	COG:COG2072, COG:P, RefSeq:WP_027225206.1, SO:0001217, UniParc:UPI0001E3C64A, UniRef:UniRef100_A0A4T1FGM9, UniRef:UniRef50_A0A130KJ04, UniRef:UniRef90_A0A130KJ04
contig_1	cds	72942	73790	-	PGH39_00325	yqjQ	Short-chain dehydrogenase	COG:COG0300, COG:R, RefSeq:WP_027225205.1, SO:0001217, UniParc:UPI0001E3C64B, UniRef:UniRef100_A0A4Q5N827, UniRef:UniRef50_A0A378JXD0, UniRef:UniRef90_A0A4Q5N827
contig_1	cds	74093	74281	+	PGH39_00330		hypothetical protein	RefSeq:WP_032802693.1, SO:0001217, UniParc:UPI00051977A9, UniRef:UniRef100_UPI00051977A9, UniRef:UniRef50_A0A378K6A4, UniRef:UniRef90_A0A822W703
contig_1	cds	74287	75063	-	PGH39_00335	trpC	indole-3-glycerol phosphate synthase TrpC	COG:COG0134, COG:E, EC:4.1.1.48, GO:0000162, GO:0004425, RefSeq:WP_027225204.1, SO:0001217, UniParc:UPI0001E3C64C, UniRef:UniRef100_A0A4T1FN20, UniRef:UniRef50_Q9K192, UniRef:UniRef90_Q5WY75
contig_1	cds	75056	76090	-	PGH39_00340	trpD	Anthranilate phosphoribosyltransferase	COG:COG0547, COG:E, EC:2.4.2.18, GO:0000162, GO:0000287, GO:0004048, KEGG:K00766, RefSeq:WP_027225203.1, SO:0001217, UniParc:UPI00048238AA, UniRef:UniRef100_A0A4Q5N812, UniRef:UniRef50_Q5WY74, UniRef:UniRef90_Q5WY74
contig_1	cds	76068	76646	-	PGH39_00345	pabA	aminodeoxychorismate/anthranilate synthase component II	COG:COG0512, COG:EH, RefSeq:WP_011945952.1, SO:0001217, UniParc:UPI0001527859, UniRef:UniRef100_A0A128G0E1, UniRef:UniRef50_A0A0F0G0L4, UniRef:UniRef90_A0A378KB84
contig_1	cds	76680	77405	-	PGH39_00350	lptB	LPS export ABC transporter ATP-binding protein	COG:COG1137, COG:M, RefSeq:WP_010946572.1, SO:0001217, UniParc:UPI000044237B, UniRef:UniRef100_A0A128YZ20, UniRef:UniRef50_A0A451DPH7, UniRef:UniRef90_A0A128YZ20
contig_1	cds	77402	77911	-	PGH39_00355	lptA	lipopolysaccharide transport periplasmic protein LptA	COG:COG1934, COG:M, KEGG:K09774, RefSeq:WP_011215024.1, SO:0001217, UniParc:UPI0000445658, UniRef:UniRef100_A0A129AZT6, UniRef:UniRef50_G9EMT2, UniRef:UniRef90_A0A2S6F1U3
contig_1	cds	77892	78461	-	PGH39_00360	lptC	LPS export ABC transporter periplasmic protein LptC	COG:COG3117, COG:M, RefSeq:WP_011945954.1, SO:0001217, UniParc:UPI0001527857, UniRef:UniRef100_A0A130A0Y4, UniRef:UniRef50_A0A0W0ZBL5, UniRef:UniRef90_A0A128YYB8
contig_1	cds	78458	78985	-	PGH39_00365	kdsC	3-deoxy-manno-octulosonate-8-phosphatase KdsC	COG:COG1778, COG:MR, RefSeq:WP_011945955.1, SO:0001217, UniParc:UPI0001527856, UniRef:UniRef100_A0A2S8CD20, UniRef:UniRef50_A0A7C6RZF4, UniRef:UniRef90_A0A2S8CD20
contig_1	cds	78999	79961	-	PGH39_00370		D-arabinose 5-phosphate isomerase	COG:COG2905, COG:T, RefSeq:WP_010946576.1, SO:0001217, UniParc:UPI000044237F, UniRef:UniRef100_A0A128YX74, UniRef:UniRef50_C9QC42, UniRef:UniRef90_A0A128YX74
contig_1	cds	80328	81125	+	PGH39_00375	mlaF	phospholipid ABC transporter ATP-binding protein MlaF	COG:COG1127, COG:M, RefSeq:WP_010946577.1, SO:0001217, UniParc:UPI0000442380, UniRef:UniRef100_A0A128YXY1, UniRef:UniRef50_G8Q9D8, UniRef:UniRef90_A0A128YXY1
contig_1	cds	81118	81900	+	PGH39_00380	mlaE	lipid asymmetry maintenance ABC transporter permease subunit MlaE	COG:COG0767, COG:M, RefSeq:WP_010946578.1, SO:0001217, UniParc:UPI0000442381, UniRef:UniRef100_A0A0C9P2M1, UniRef:UniRef50_A0A0W0TRR0, UniRef:UniRef90_A0A378KWL3
contig_1	cds	81901	82377	+	PGH39_00385	mlaD	outer membrane lipid asymmetry maintenance protein MlaD	COG:COG1463, COG:M, RefSeq:WP_010946579.1, SO:0001217, UniParc:UPI0000442382, UniRef:UniRef100_A0A128YY47, UniRef:UniRef50_A0A0W0TRN5, UniRef:UniRef90_A0A128YY47
contig_1	cds	82385	82993	+	PGH39_00390	mlaC	signal peptidase	COG:COG2854, COG:M, KEGG:K07323, RefSeq:WP_010946580.1, SO:0001217, UniParc:UPI0000442383, UniRef:UniRef100_A0A128YWK2, UniRef:UniRef50_A0A0W0YVE4, UniRef:UniRef90_A0A128YWK2
contig_1	cds	82996	83277	+	PGH39_00395	spoIIAA	sulfate transporter	COG:COG1366, COG:T, RefSeq:WP_027225202.1, SO:0001217, UniParc:UPI0001E3C64F, UniRef:UniRef100_A0A4Q5N828, UniRef:UniRef50_A0A6F8T3P8, UniRef:UniRef90_A0A8D6LVM1
contig_1	cds	83667	83912	+	PGH39_00400	ibaG	BolA family transcriptional regulator	COG:COG5007, COG:T, RefSeq:WP_010946582.1, SO:0001217, UniParc:UPI0000442385, UniRef:UniRef100_A0A130Q110, UniRef:UniRef50_A0A0W0WHX0, UniRef:UniRef90_A0A128G2B3
contig_1	cds	83905	85173	+	PGH39_00405	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	COG:COG0766, COG:M, EC:2.5.1.7, GO:0005737, GO:0007049, GO:0008360, GO:0008760, GO:0009252, GO:0019277, GO:0051301, GO:0071555, KEGG:K00790, RefSeq:WP_014326812.1, SO:0001217, UniParc:UPI0001E3C650, UniRef:UniRef100_A0A130I6L2, UniRef:UniRef50_Q5WY61, UniRef:UniRef90_Q5WY61
contig_1	cds	85170	85928	+	PGH39_00410	nIF3	Nif3-like dinuclear metal center hexameric protein	COG:COG0327, COG:H, RefSeq:WP_013101216.1, SO:0001217, UniParc:UPI0001D2055B, UniRef:UniRef100_A0A2S8CCK8, UniRef:UniRef50_A0A0N0GPU4, UniRef:UniRef90_A0A2S8CCK8
contig_1	cds	86114	86791	-	PGH39_00415	lolD	ABC transporter ATP-binding protein	COG:COG1136, COG:M, RefSeq:WP_027225201.1, SO:0001217, UniParc:UPI0001E3C651, UniRef:UniRef100_A0A4T1QEP6, UniRef:UniRef50_A0A0M7AFW8, UniRef:UniRef90_A0A2S8CD30
contig_1	cds	86788	88038	-	PGH39_00420	lolE	ABC transporter permease	COG:COG4591, COG:M, RefSeq:WP_027225200.1, SO:0001217, UniParc:UPI0001E3C652, UniRef:UniRef100_A0A4Q5NBR6, UniRef:UniRef50_A0A222NYH9, UniRef:UniRef90_A0A2S8CCN1
contig_1	cds	88038	89054	-	PGH39_00425	acrA	efflux RND transporter periplasmic adaptor subunit	COG:COG0845, COG:MV, RefSeq:WP_027225199.1, SO:0001217, UniParc:UPI0001E3C653, UniRef:UniRef100_A0A4T1E0V5, UniRef:UniRef50_A0A2S8CCP4, UniRef:UniRef90_A0A2S8CCP4
contig_1	cds	89443	90036	+	PGH39_00430		hypothetical protein	RefSeq:WP_010946588.1, SO:0001217, UniParc:UPI000044238B, UniRef:UniRef100_A0A131ML88, UniRef:UniRef50_D3HJ19, UniRef:UniRef90_A0A131ML88
contig_1	cds	90232	91647	+	PGH39_00435	fleQ	transcriptional regulator FleQ	COG:COG2204, COG:T, KEGG:K10941, RefSeq:WP_027225198.1, SO:0001217, UniParc:UPI0001E3C654, UniRef:UniRef100_A0A4T1H3D5, UniRef:UniRef50_A0A3B1B1J2, UniRef:UniRef90_Q5WY55, VFDB:VFC0204, VFDB:VFG043319
contig_1	cds	91691	91972	-	PGH39_00440		hypothetical protein	RefSeq:WP_013101220.1, SO:0001217, UniParc:UPI0001D2055F, UniRef:UniRef100_A0A4T1FGU7, UniRef:UniRef50_A0A129AHP7, UniRef:UniRef90_A0A129AHP7
